0.0	0.7080734182735712
0.01	0.7216172078328544
0.02	0.734961556863801
0.03	0.7480944563529994
0.04	0.7610040875773536
0.05	0.7736788327401355
0.06	0.7861072854262184
0.07	0.79827826086708
0.08	0.8101808060063399
0.09	0.8218042093567703
0.1	0.833138010639912
0.11	0.8441720101996192
0.12	0.8548962781810603
0.13	0.8653011634669185
0.14	0.8753773023627455
0.15	0.8851156270236538
0.16	0.8945073736147655
0.17	0.9035440901980729
0.18	0.9122176443386112
0.19	0.9205202304231008
0.2	0.9284443766844737
0.21	0.9359829519259583
0.22	0.9431291719386761
0.23	0.9498766056069707
0.24	0.956219180695979
0.25	0.9621511893162318
0.26	0.9676672930603694
0.27	0.972762527807348
0.28	0.9774323081898132
0.29	0.9816724317206216
0.3	0.9854790825747952
0.31	0.9888488350235065
0.32	0.9917786565170033
0.33	0.9942659104136979
0.34	0.9963083583529686
0.35	0.9979041622695306
0.36	0.9990518860475728
0.37	0.9997504968131639
0.38	0.9999993658637698
0.39	0.9997982692340429
0.4	0.9991473878973766
0.41	0.9980473076030405
0.42	0.9964990183490463
0.43	0.9945039134912164
0.44	0.9920637884892572
0.45	0.9891808392909671
0.46	0.9858576603560311
0.47	0.9820972423211829
0.48	0.9779029693088332
0.49	0.9732786158815883
0.5	0.9682283436453982
0.51	0.9627566975043922
0.52	0.9568686015707724
0.53	0.9505693547334443
0.54	0.943864625889375
0.55	0.9367604488419689
0.56	0.9292632168710508
0.57	0.9213796769793468
0.58	0.9131169238206363
0.59	0.9044823933150428
0.6	0.8954838559572085
0.61	0.8861294098233718
0.62	0.8764274732836477
0.63	0.8663867774260603
0.64	0.8560163581991551
0.65	0.8453255482802537
0.66	0.8343239686766757
0.67	0.8230215200674793
0.68	0.8114283738935207
0.69	0.7995549632038426
0.7	0.7874119732666346
0.71	0.7750103319532126
0.72	0.7623611999036732
0.73	0.7494759604830705
0.74	0.7363662095371549
0.75	0.7230437449568964
0.76	0.7095205560611778
0.77	0.6958088128072173
0.78	0.6819208548384292
0.79	0.6678691803795753
0.8	0.6536664349892096
0.81	0.6393254001795273
0.82	0.6248589819138652
0.83	0.6102801989922093
0.84	0.5956021713351508
0.85	0.5808381081768432
0.86	0.5660012961775851
0.87	0.5511050874667215
0.88	0.5361628876266268
0.89	0.5211881436285908
0.9	0.5061943317314452
0.91	0.4911949453538464
0.92	0.4762034829311061
0.93	0.46123343576751064
0.94	0.4462982758950599
0.95	0.43141144394954634
0.96	0.4165863370748891
0.97	0.4018362968666112
0.98	0.3871745973653026
0.99	0.3726144331108785
1.0	0.3581689072683869
